name,location,date,review,rating
Hamza,"Cypress, TX","Reviewed Sept. 6, 2023","I am writing to express my utter dismay and outrage as an LG customer. Can you believe that I actually bought an LG refrigerator, only for it to become a complete disaster? It malfunctioned right after purchase, and I've had to deal with an absolute circus of technicians visiting my home repeatedly, shoving various replacement parts into my fridge, all to no avail!",1
cheryl,"San Diego, CA","Reviewed Aug. 31, 2023","Remodeling kitchen, purchased $2100. LG Refrigerator at Costco. Used 7+ yrs- Compressor went- lost hundreds in groceries. I had to pay Labor to replace $550. + no grocery reimbursement. NEVER BUYING LG ANYTHING AGAIN. I have NEVER had a Compressor go bad on any refrigerator I’ve purchased in my life. THEN I FIND OUT (& was NEVER NOTIFIED) there was a Class Action Lawsuit filed against them (they lost /file closed in 2021) for guess what? The DEFECTIVE COMPRESSOR ON THE LG REFRIGERATOR!! ",1
Dan,"Englewood, CO","Reviewed Aug. 9, 2023",Do not buy an LG refrigerator. We purchased a LG three door refrigerator in 2018 from Home Depot with standard five year warranty. Five years and 4 months the compressor died. Don't make the mistake we made. Never again.,1
Larry,"Littleton, CO","Reviewed Aug. 9, 2023",Our 5 1/2 year old French door fridge was determined to be unrepairable due to an internal leak after four tries by a certified LG repair shop. LG support was notified. They offered us a 10% rebate on a new LG fridge. That’s it after a catastrophic failure of its product. We won’t be buying LG again.,1
Samuel,"Hanmer, Other","Reviewed Aug. 4, 2023","If I read the reviews on this page, I may have a different opinion today but I didn’t. I bought a house in 2022 with a French door refrigerator of 2020. The fridge broke down six weeks ago. I invited a local shop to repair, they informed me that the compressor was bad and that no technician was available in the area to fix a new one even if I decided to get a new compressor, as LG recently changed their technology. A day after, LG contacted me and asked me to purchase another one and send the bill of lading along with the sticker of the old fridge. They would pay me $743 and also take away the old fridge. It took me a while to decide but I finally agreed to that proposal.",1
Theresa,"Saint Petersburg, FL","Reviewed Aug. 4, 2023","Within 6 months one of the clips on the top shelf broke off. After much effort supplying the pictures & information requested, I was told that was considered wear & tear. I could have been informed of that WITHOUT any of my efforts. Less than a month later, I noticed when closing the refrigerator door the freezer door opens & closes. I live alone, my fridge is less than a year old & in spotless condition. Having already been made aware of non-covered parts, I did not waste my time calling. THIS IS MY FIRST & LAST LG REFRIGERATOR. It is falling apart before my eyes!!!",2
Lidia,"Mississauga, Other","Reviewed June 28, 2023","I had a major emergency two weeks ago. My kitchen floor was flooded and I had to throw food in the garbage! Extended warranty on LG fridge was contacted. The technician ordered parts and is still waiting for them. The parts are not available. In meanwhile, I am without a fridge. I have an emergency! I am without a fridge for two weeks now and I am still waiting. Don't buy garbage LG fridge as you will waste your money on the product that is worthless. I made this mistake and I am paying the price for it! This product is not worth your hard earned money!",1
eva,"Houston, TX","Reviewed June 27, 2023","DO NOT purchase a French door LG refrigerator unless you are aware that the compressor is good for 4-5 yrs only. New compressor-free, service and labor - $1000. Never again will I ever purchase another LG product. Ever!",1
Felix,"Palmerston, ON","Reviewed June 8, 2023",The Fridge purchased Feb 2015 came with a 10 year warranty on the compressor parts. 1 Jun 2023 Initial call about the fridge and freezer not cooling was a clear compressor issue. We were told they will get back to us within 8 days (but since it is a fridge put a urgency on it) if they have service for our location. If they don't have a service person they would have a great offer instead of repair.,2
Helen,"Delray Beach, FL","Reviewed June 7, 2023","I bought an LG refrigerator top freezer. I had bought this refrigerator twice before and this was my third time. Well - they did away with a lot of the features that I had in my last 2 purchases like no freezer light and no deli bin. Really dumb move. I returned the refrigerator and bought a Frigidaire. I love it. I had also bought the ice maker for the LG refrigerator direct from the LG website. Well, I now wanted to return the ice maker as I no longer have the refrigerator. Hours on the phone - can't get anyone who speaks an English that I can understand. Their policy is a 2 wk window to return. This was 2 1/2 weeks that I had the ice maker. I am still waiting for my refund. I will NEVER buy LG again!! Not only are they manufactured in Korea, they are also headquartered in Korea. Forget about getting anyone to help.",1
GERARDO,"Miami, FL","Reviewed May 31, 2023","I recommend buying an Lg refrigerator to no one, the warranty covers the compressor but no installation, the calls give you a name with whom you can fix it, they put the new compressor on January 27/2023 and today May 31/2023 it is broken again. Lg is voted money.",1
SHARON,"Kennedale, TX","Reviewed May 26, 2023","HAS NOT WORKED SINCE DAY 1. I bought this a Lowe's in Burleson Texas on May 3, 2023. It is now May 26, 2023 and I have had 2 repair days with no results and it did not work from day one. I am super mad that LOWE'S obviously knows they are selling bad appliances because they stopped taking returns in March 2023. You have to have it back in store in 48 hours or NO REFUND! It was a weekend after I purchased it and I did not contact them until the following Tuesday to discuss returning the broken fridge. THEY HAVE to know they are selling bad products. Why else would they say NO to a refund of a brand new appliance? LG has sent repair man out 2x. New compressor didn't fix it so he is now going to replace the motherboard and condenser because I requested a buyout from LG and they won't give me my money back until there have been two repairs on the same part.",1
William,"Charlotte, MI","Reviewed May 23, 2023","My LG refrigerator quit working after 5 years. The compressor went out but was covered for longer. Contacted LG for a warranty repair, it took LG two weeks to locate an authorized facility. Both LG and I called this facility several times over a period of 3 weeks, but no appointment was ever made. LG told me they had No other authorized facilities in my area so they issued me a Refund check that was a fourth of what I paid for the refrigerator. I ended up contacting another one of LG's authorized repair facilities located an hour away on the other side of the state and had to add $500 along with the check LG sent me to get my refrigerator fixed. ",1
Lisa,"Whitehall, MI","Reviewed May 16, 2023","I really enjoy writing favorable reviews. In this case, I cannot. We had a home fire, then switched all of our appliances to LG. The refrigerator is 3 years old and stopped working Saturday, May 6, 2023. We were told it was probably the compressor and under warranty, and we should contact a local appliance repair. We called Metropolitan on Monday, they came out on Wednesday, May 10 and confirmed it was the compressor. They said LG is known for bad compressors on their refrigerators.  ",1
Mary,"Sneads Ferry, NC","Reviewed May 16, 2023","Bought a very expensive LG refrigerator 18 mos. Ago. Three weeks ago, it just stopped making ice. Craft ice and ice machine in the door. After reviewing the owners manual and watching numerous lg videos on Youtube we were unable to fix the issue. I called lg customer service and was told the refrigerator stopped making ice because it needed a software update. There is nothing in the manual stating this might be the issue, nor did I receive any notification from lg that this was a mandatory update to keep the refrigerator running properly. One week later, craft ice is working but ice machine in door is not working. Again, nothing in the manual or lg website for troubleshooting this issue.",1
Michael,"Johnson City, TN","Reviewed May 1, 2023","My story begins Feb 8th with the purchase of 3 identical refrigerators with top freezer offer, a factory installed filtered water dispenser and option ice maker. Our company has many apartments for rent in the downtown area and these refrigerators were selected base on 33” wide dimensions and convenience features. Refrigerators arrived on or about Feb 15th 2023 but the optional ice makers were backed ordered.. Ice makers arrive 1st April and installed as accordance to LG instructions. Instructions state it sometimes takes 24 to 48 hours to make ice. After 72 hours no ice. Go back to retail we purchased from to inform and they sent technicians to investigate. They were unable to resolve the issue. Next step LG sends their authorized technician and his conclusion was the the plug and play wire harness was defective and that no current was feeding the servo that supplied water to the ice maker. ",1
Sean,"Winterset, IA","Reviewed April 18, 2023","I purchased an LG refrigerator about 7 years ago, one of the reasons besides the features was that it had a 10 year warranty on the compressor. So this past weekend, opened the refrigerator and it was warm, freezer was thawing out. I spent several hours on hold trying to get a hold of someone, and then my wife got a hold of someone the following day after being on hold for hours. They could barely speak English, and there was no one in the area that could work on it, and was told it would be cheaper for us to buy a new one than to pay someone to come from hours away to work on it. I talked to some local repair facilities and no one would do it because they said LG does not pay their warranty claims. I have medication that has to be refrigerated, so had to buy a new refrigerator. Not happy and my new refrigerator is not an LG.",1
Tim,"Rochester, PA","Reviewed April 10, 2023",Hours on the phone. No one will work on LG refrigerator. Will not buy another LG. Found someone to work on unit in 3 weeks. This really sucks. I will not buy another. I wish the company I bought the unit from told me you will have ** service.,1
Russell,"South Point, OH","Reviewed April 7, 2023","First LG refrigerator 4 bad compressors. So then they replaced it with a new one that lasted three days, another bad compressor.. So they replaced it and it lasted a week before the compressor went bad. HOW CAN LG GET AWAY WITH SELLING JUNK LIKE THAT????",1
SANDRA,"Burnside, KY","Reviewed March 27, 2023",I purchased a LG refrigerator and within 2 years they had to replace the compressor. After replacement I constantly had issues with refrigerator quit working and food loss. They finally agreed to refund 1/2 of my purchase price to replace. I sent all information they requested for refund several times. It has been 8 months and still no refund. Every time I call about it they assure me someone will contact me within 48 hours. I never get contacted. I am out over $6K between two refrigerators. My promised refund was only $1456.64. I should not have to beg for what they agreed to. SB Kentucky,1
De,"Sayre, PA","Reviewed March 19, 2023",I just bought the LG refrigerator (Model# LTCS20020). I was so disappointed that there is only one light in the front of the refrigerator. Most of the refrigerator is dark. It is a very poor design. I have never had a dark refrigerator. I bought it at Lowe's. I can't return it because the 48 hour window passed 6 1/2 hours ago. Otherwise I really like the product. I called the LG company and they confirmed that there is only the one light in this model.,4
Vesna,"Head Of Chezzetcook, NS","Reviewed March 16, 2023","36"" French Door just 24 months old, freezer and Ice maker not working and fridge not as cold. I am 20 minutes from major in Nova Scotia and they told me I would have to literally send my fridge to repair shop 5 hours away. I called repair shop and they do not accept fridges. No one wants to touch these fridges. VERY common for this fridge to break down in 2 years. DO NOT BUY. Warranty useless when no one touches these fridges!",1
James,"Saint Charles, MO","Reviewed March 7, 2023","I had the compressor go out on my LG refrigerator. The compressor was covered by warranty, but the labor was not. I contacted LG and tried to find service in my area. They gave me phone numbers for people that did not work on LG's or else they did not come to my rural area. She offered to give me a rebate to purchase a new refrigerator. I agreed to that, so she asked me to send her proof of purchase & model number and serial tag from the unit. I did all that and never heard from her again. Customer service will not respond to emails or texts. She gave me a reference number that the rebate dept. does not have. This was all a big waste of time. I do not recommend anyone purchase an LG appliance if they want a reliable customer service. All you get is a runaround when you call.",4
Melida,"North Fort Myers, FL","Reviewed Feb. 24, 2023",On Nov 2018 purchased refrigerator LG model LMXS28626S. Placed on use Jan 2019. On 2021 it stop cooling. LG customer service sent tech. Replaced condenser. Stop working again Jan 2023. Changed condenser and evaporator. Work few days. Stop working again Feb 2023 then unit was condemned for internal leak.,1
Gesiel,"Windermere, FL","Reviewed Feb. 20, 2023","LG is a worldwide brand with great products, but unfortunately, the French-door refrigerator has a BASIG SHAMEFUL PROBLEM. The water filter needs a technician to be replaced. This is the second filter replacement since we bought this unit, and it is the second time that we had to call an LG technician to do something that was supposed to be so simple, changing a water filter, and worse, we have to pay the technician to do it, pay for a problem that is not ours. I’ve spoken to other LG French-door refrigerator and they have the same problem.",1
Kim,"Scarville, IA","Reviewed Feb. 14, 2023","Compressor went out on our fridge, had to throw everything away. I’ve called several time and they kept telling me they couldn’t find a tech to come out. I decided to go thru BBB and now have to wait a month to get a tech to look at problem when we did that already. Don’t bother going thru customer service as it’s hopeless. Will never buy a LG product again. What a joke!",1
Jeffery,"Eatonton, GA","Reviewed Feb. 2, 2023","I have a refrigerator that was 5 months old. I contacted LG to replace the ice maker and at first there was pretty good communications. They were unable to find an authorized warranty provider in my area, and eventually offered to pay me out and I would have to scrap the unit. This sounded absurd to me, so I offered to locate, and pay a repair provider. The LG Presidential liaison I had been communicating with agreed to this and offered to reimburse me after I paid for the repairs. Once the repairs were made the communication stopped, and I have not been able to get an answer from them at all.",1
Ruth,"Brooklyn, NY","Reviewed Jan. 30, 2023","I bought an LG fridge through P.C. Richard's a few months ago. The water and ice coming from this fridge is the worst. The water is UNDRINKABLE. The ice CANNOT be used in your drinks. The awful taste gets in your drinks. I have never had this experience with other refrigerators before. Samsung and Frigidaire is good. I've changed the filter on the LG fridge to see if that was the problem, and it still had the same awful taste. LG refuses to take back their fridge saying it's my water line that's the problem. NO IT'S NOT! Again, I didn't have this problem with Samsung or Frigidaire. It's LG's awful product! Don't by LG refrigerators customers. It's possible that this water can do something to your health. I refuse to use their ice or water. Unfortunately, I've resorted to bottled water. Even my children noticed a bad taste from the water and ice... I'm getting rid of this fridge no matter what!",1
Herb,"Lincoln, CA","Reviewed Jan. 13, 2023","During the first year of purchase LG LMXS27626S/01, the refrigerator stopped keeping food cold. Compressor was replaced and food was cold. Ice maker does not produce enough ice and is replaced. Now, the refrigerator will not keep normal refrigerator temperature set at 37 with a thermometer place inside refrigerator. It shows 30-32 degrees which food is partial frozen. I feel, the wrong compressor was installed where new problems surfaced after replacement of compressor. I would not recommend LG refrigerator to anyone. This refrigerator should have been recalled due to compressor issues and not adequate keeping normal refrigerator temperatures.",1
Elise,"Ephrata, PA","Reviewed Jan. 13, 2023",Bought a LG refrigerator from Lowe’s. 3 months after the warranty expired the compressor and evaporator go bad. No LG service in our area. Small local service company came out and wanted $2k to repair and had to order the parts.,1
Edmond,"Trappe, MD","Reviewed Jan. 9, 2023","Both refrigerator stopped cooling on 12/24/2022. Smart Diagnostics analysis indicated (inverter linear) compressor failed. After multiple calls to LG Customer Service and escalation to Presidential Liaison, LG is unable to locate a service provider to repair a refrigerator that is still under parts and labor warranty. I would not recommend a refrigerator with a inverter linear compressor to anyone.",1
